"..Date.and.Time..UTC.","Receiver","Transmitter","Transmitter.Name","Transmitter.Serial","Sensor.Value","Sensor.Unit","Station.Name","Latitude","Longitude"
2017-10-01 08:49:05,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 08:50:49,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 08:53:14,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 08:54:59,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 09:03:47,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 09:09:41,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 09:12:26,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 09:14:52,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 09:16:41,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 09:19:14,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 09:21:17,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 09:24:19,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 09:33:04,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 09:35:37,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
